,id,year,co_authors,after,treatment
0,24824532900,2012,7,0,1
1,24824532900,2013,7,0,1
2,24824532900,2014,7,0,1
3,24824532900,2015,7,0,1
4,24824532900,2016,10,0,1
5,24824532900,2017,19,0,1
6,24824532900,2018,26,0,1
7,24824532900,2019,37,0,1
8,24824532900,2020,61,1,1
9,24824532900,2021,82,1,1
10,24824532900,2022,131,1,1
11,56393916300,2012,0,0,0
12,56393916300,2013,0,0,0
13,56393916300,2014,9,0,0
14,56393916300,2015,20,0,0
15,56393916300,2016,23,0,0
16,56393916300,2017,24,0,0
17,56393916300,2018,34,0,0
18,56393916300,2019,17,0,0
19,56393916300,2020,43,1,0
20,56393916300,2021,42,1,0
21,56393916300,2022,16,1,0
22,56176657400,2012,0,0,0
23,56176657400,2013,0,0,0
24,56176657400,2014,9,0,0
25,56176657400,2015,19,0,0
26,56176657400,2016,9,0,0
27,56176657400,2017,17,0,0
28,56176657400,2018,27,0,0
29,56176657400,2019,27,0,0
30,56176657400,2020,80,1,0
31,56176657400,2021,11,1,0
32,56176657400,2022,6,1,0
33,56525773200,2012,0,0,0
34,56525773200,2013,0,0,0
35,56525773200,2014,0,0,0
36,56525773200,2015,0,0,0
37,56525773200,2016,0,0,0
38,56525773200,2017,0,0,0
39,56525773200,2018,9,0,0
40,56525773200,2019,45,0,0
41,56525773200,2020,31,1,0
42,56525773200,2021,0,1,0
43,56525773200,2022,28,1,0
44,57187639800,2012,6,0,0
45,57187639800,2013,0,0,0
46,57187639800,2014,8,0,0
47,57187639800,2015,10,0,0
48,57187639800,2016,25,0,0
49,57187639800,2017,13,0,0
50,57187639800,2018,16,0,0
51,57187639800,2019,39,0,0
52,57187639800,2020,56,1,0
53,57187639800,2021,43,1,0
54,57187639800,2022,73,1,0
55,56493248300,2012,0,0,0
56,56493248300,2013,0,0,0
57,56493248300,2014,0,0,0
58,56493248300,2015,34,0,0
59,56493248300,2016,18,0,0
60,56493248300,2017,28,0,0
61,56493248300,2018,23,0,0
62,56493248300,2019,22,0,0
63,56493248300,2020,8,1,0
64,56493248300,2021,13,1,0
65,56493248300,2022,0,1,0
66,56411251400,2012,0,0,0
67,56411251400,2013,0,0,0
68,56411251400,2014,19,0,0
69,56411251400,2015,41,0,0
70,56411251400,2016,29,0,0
71,56411251400,2017,16,0,0
72,56411251400,2018,54,0,0
73,56411251400,2019,11,0,0
74,56411251400,2020,0,1,0
75,56411251400,2021,0,1,0
76,56411251400,2022,0,1,0
77,56982091400,2012,0,0,0
